MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20011225,AL,69.39,30.19,0.42,0.00,0.00,0.00,2001-12-25,2001-12-31,2
20011218,AL,81.75,17.83,0.42,0.00,0.00,0.00,2001-12-18,2001-12-24,2
20011211,AL,80.64,17.32,2.04,0.00,0.00,0.00,2001-12-11,2001-12-17,2
20011204,AL,61.87,30.48,7.65,0.00,0.00,0.00,2001-12-04,2001-12-10,2
20011127,AL,61.87,30.48,7.65,0.00,0.00,0.00,2001-11-27,2001-12-03,2
20011120,AL,56.37,35.80,7.83,0.00,0.00,0.00,2001-11-20,2001-11-26,2
20011113,AL,56.37,35.89,7.74,0.00,0.00,0.00,2001-11-13,2001-11-19,2
20011106,AL,58.51,41.40,0.10,0.00,0.00,0.00,2001-11-06,2001-11-12,2
20011030,AL,80.03,19.97,0.00,0.00,0.00,0.00,2001-10-30,2001-11-05,2
20011023,AL,92.82,7.18,0.00,0.00,0.00,0.00,2001-10-23,2001-10-29,2
20011016,AL,92.78,7.22,0.00,0.00,0.00,0.00,2001-10-16,2001-10-22,2
20011009,AL,93.20,6.80,0.00,0.00,0.00,0.00,2001-10-09,2001-10-15,2
20011002,AL,96.02,3.98,0.00,0.00,0.00,0.00,2001-10-02,2001-10-08,2
20010925,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-09-25,2001-10-01,2
20010918,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-09-18,2001-09-24,2
20010911,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-09-11,2001-09-17,2
20010904,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-09-04,2001-09-10,2
20010828,AL,98.13,1.87,0.00,0.00,0.00,0.00,2001-08-28,2001-09-03,2
20010821,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-08-21,2001-08-27,2
20010814,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-08-14,2001-08-20,2
20010807,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-08-07,2001-08-13,2
20010731,AL,100.00,0.00,0.00,0.00,0.00,0.00,2001-07-31,2001-08-06,2
20010724,AL,99.84,0.16,0.00,0.00,0.00,0.00,2001-07-24,2001-07-30,2
20010717,AL,99.99,0.01,0.00,0.00,0.00,0.00,2001-07-17,2001-07-23,2
20011225,FL,36.61,63.39,0.00,0.00,0.00,0.00,2001-12-25,2001-12-31,2
20011218,FL,53.06,46.94,0.00,0.00,0.00,0.00,2001-12-18,2001-12-24,2
20011211,FL,57.03,42.97,0.00,0.00,0.00,0.00,2001-12-11,2001-12-17,2
20011204,FL,65.53,34.47,0.00,0.00,0.00,0.00,2001-12-04,2001-12-10,2
20011127,FL,65.53,34.47,0.00,0.00,0.00,0.00,2001-11-27,2001-12-03,2
20011120,FL,68.80,31.20,0.00,0.00,0.00,0.00,2001-11-20,2001-11-26,2
20011113,FL,68.80,31.20,0.00,0.00,0.00,0.00,2001-11-13,2001-11-19,2
20011106,FL,66.69,33.31,0.00,0.00,0.00,0.00,2001-11-06,2001-11-12,2
20011030,FL,70.37,29.63,0.00,0.00,0.00,0.00,2001-10-30,2001-11-05,2
20011023,FL,84.01,15.99,0.00,0.00,0.00,0.00,2001-10-23,2001-10-29,2
20011016,FL,81.69,18.31,0.00,0.00,0.00,0.00,2001-10-16,2001-10-22,2
20011009,FL,84.04,15.96,0.00,0.00,0.00,0.00,2001-10-09,2001-10-15,2
20011002,FL,84.04,15.96,0.00,0.00,0.00,0.00,2001-10-02,2001-10-08,2
20010925,FL,82.10,17.90,0.00,0.00,0.00,0.00,2001-09-25,2001-10-01,2
20010918,FL,89.86,10.14,0.00,0.00,0.00,0.00,2001-09-18,2001-09-24,2
20010911,FL,67.53,24.37,8.09,0.00,0.00,0.00,2001-09-11,2001-09-17,2
20010904,FL,55.36,32.79,11.85,0.00,0.00,0.00,2001-09-04,2001-09-10,2
20010828,FL,62.96,26.72,10.32,0.00,0.00,0.00,2001-08-28,2001-09-03,2
20010821,FL,74.87,20.06,5.06,0.00,0.00,0.00,2001-08-21,2001-08-27,2
20010814,FL,74.87,20.06,5.06,0.00,0.00,0.00,2001-08-14,2001-08-20,2
20010807,FL,82.01,15.08,2.91,0.00,0.00,0.00,2001-08-07,2001-08-13,2
20010731,FL,43.42,11.88,31.73,12.97,0.00,0.00,2001-07-31,2001-08-06,2
20010724,FL,32.36,18.71,35.95,12.97,0.00,0.00,2001-07-24,2001-07-30,2
20010717,FL,25.20,10.05,15.70,40.49,8.56,0.00,2001-07-17,2001-07-23,2
20011225,GA,2.18,27.50,24.87,43.95,1.50,0.00,2001-12-25,2001-12-31,2
20011218,GA,6.75,22.94,23.85,44.96,1.50,0.00,2001-12-18,2001-12-24,2
20011211,GA,6.79,25.10,25.12,43.00,0.00,0.00,2001-12-11,2001-12-17,2
20011204,GA,0.00,23.98,25.46,50.56,0.00,0.00,2001-12-04,2001-12-10,2
20011127,GA,0.00,23.98,25.61,50.41,0.00,0.00,2001-11-27,2001-12-03,2
20011120,GA,0.00,23.92,28.28,47.80,0.00,0.00,2001-11-20,2001-11-26,2
20011113,GA,0.00,23.93,43.72,32.35,0.00,0.00,2001-11-13,2001-11-19,2
20011106,GA,0.00,34.64,46.18,19.18,0.00,0.00,2001-11-06,2001-11-12,2
20011030,GA,0.00,52.46,33.59,13.95,0.00,0.00,2001-10-30,2001-11-05,2
20011023,GA,23.83,35.21,40.90,0.06,0.00,0.00,2001-10-23,2001-10-29,2
20011016,GA,48.52,30.59,20.82,0.07,0.00,0.00,2001-10-16,2001-10-22,2
20011009,GA,51.62,31.16,17.23,0.00,0.00,0.00,2001-10-09,2001-10-15,2
20011002,GA,54.44,29.08,16.48,0.00,0.00,0.00,2001-10-02,2001-10-08,2
20010925,GA,61.50,38.50,0.00,0.00,0.00,0.00,2001-09-25,2001-10-01,2
20010918,GA,60.47,39.53,0.00,0.00,0.00,0.00,2001-09-18,2001-09-24,2
20010911,GA,92.92,7.08,0.00,0.00,0.00,0.00,2001-09-11,2001-09-17,2
20010904,GA,92.92,7.08,0.00,0.00,0.00,0.00,2001-09-04,2001-09-10,2
20010828,GA,83.88,16.12,0.00,0.00,0.00,0.00,2001-08-28,2001-09-03,2
20010821,GA,92.55,7.45,0.00,0.00,0.00,0.00,2001-08-21,2001-08-27,2
20010814,GA,89.13,9.87,1.01,0.00,0.00,0.00,2001-08-14,2001-08-20,2
20010807,GA,85.63,13.60,0.77,0.00,0.00,0.00,2001-08-07,2001-08-13,2
20010731,GA,58.65,32.24,9.11,0.00,0.00,0.00,2001-07-31,2001-08-06,2
20010724,GA,57.57,33.32,9.11,0.00,0.00,0.00,2001-07-24,2001-07-30,2
20010717,GA,57.08,37.15,5.77,0.00,0.00,0.00,2001-07-17,2001-07-23,2
20011225,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-12-25,2001-12-31,2
20011218,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-12-18,2001-12-24,2
20011211,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-12-11,2001-12-17,2
20011204,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-12-04,2001-12-10,2
20011127,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-11-27,2001-12-03,2
20011120,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-11-20,2001-11-26,2
20011113,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-11-13,2001-11-19,2
20011106,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-11-06,2001-11-12,2
20011030,MS,100.00,0.00,0.00,0.00,0.00,0.00,2001-10-30,2001-11-05,2
20011023,MS,99.97,0.03,0.00,0.00,0.00,0.00,2001-10-23,2001-10-29,2
20011016,MS,99.97,0.03,0.00,0.00,0.00,0.00,2001-10-16,2001-10-22,2
20011009,MS,97.03,2.92,0.05,0.00,0.00,0.00,2001-10-09,2001-10-15,2
20011002,MS,97.03,2.92,0.05,0.00,0.00,0.00,2001-10-02,2001-10-08,2
20010925,MS,97.03,2.92,0.05,0.00,0.00,0.00,2001-09-25,2001-10-01,2
20010918,MS,97.03,2.92,0.05,0.00,0.00,0.00,2001-09-18,2001-09-24,2
20010911,MS,91.36,8.59,0.05,0.00,0.00,0.00,2001-09-11,2001-09-17,2
20010904,MS,96.47,3.48,0.05,0.00,0.00,0.00,2001-09-04,2001-09-10,2
